"Country Region","Package Id",Type,"Net Price","Recommended retail price",Data,SMS,Voice,Networks
Spain,guay-mobile-7days-unlimited-topup-x,topup,11.6,29.5,Unlimited,0,0,"Movistar [LTE], Vodafone [LTE], Yoigo [LTE]"
Italy,mamma-mia-7days-1gb,sim,1.7,4.5,"1 GB",0,0,"Vodafone [LTE], TIM [5G], Wind Tre [5G], Iliad [5G]"
Italy,mamma-mia-7days-1gb-topup,topup,1.7,4.5,"1 GB",0,0,"Vodafone [LTE], TIM [5G], Wind Tre [5G], Iliad [5G]"
Italy,mamma-mia-15days-2gb,sim,2.3,7,"2 GB",0,0,"Vodafone [LTE], TIM [5G], Wind Tre [5G], Iliad [5G]"
Italy,mamma-mia-15days-2gb-topup,topup,2.3,7,"2 GB",0,0,"Vodafone [LTE], TIM [5G], Wind Tre [5G], Iliad [5G]"
Italy,mamma-mia-30days-3gb,sim,2.8,8.5,"3 GB",0,0,"Vodafone [LTE], TIM [5G], Wind Tre [5G], Iliad [5G]"
Italy,mamma-mia-30days-3gb-topup,topup,2.8,8.5,"3 GB",0,0,"Vodafone [LTE], TIM [5G], Wind Tre [5G], Iliad [5G]"
Italy,mamma-mia-30days-5gb,sim,4,13,"5 GB",0,0,"Vodafone [LTE], TIM [5G], Wind Tre [5G], Iliad [5G]"
Italy,mamma-mia-30days-5gb-topup,topup,4,13,"5 GB",0,0,"Vodafone [LTE], TIM [5G], Wind Tre [5G], Iliad [5G]"
Italy,mamma-mia-30days-10gb,sim,5.9,20.5,"10 GB",0,0,"Vodafone [LTE], TIM [5G], Wind Tre [5G], Iliad [5G]"
Italy,mamma-mia-30days-10gb-topup,topup,5.9,20.5,"10 GB",0,0,"Vodafone [LTE], TIM [5G], Wind Tre [5G], Iliad [5G]"
Italy,mamma-mia-30days-20gb,sim,10,28.5,"20 GB",0,0,"Vodafone [LTE], TIM [5G], Wind Tre [5G], Iliad [5G]"
Italy,mamma-mia-30days-20gb-topup,topup,10,28.5,"20 GB",0,0,"Vodafone [LTE], TIM [5G], Wind Tre [5G], Iliad [5G]"
Italy,mamma-mia-in-3days-unlimited,sim,4.5,12.5,Unlimited,0,0,"Vodafone [LTE], TIM [5G], Wind Tre [5G], Iliad [5G]"
Italy,mamma-mia-in-3days-unlimited-topup,topup,4.5,12.5,Unlimited,0,0,"Vodafone [LTE], TIM [5G], Wind Tre [5G], Iliad [5G]"
Italy,mamma-mia-in-5days-unlimited,sim,6.7,20.5,Unlimited,0,0,"Vodafone [LTE], TIM [5G], Wind Tre [5G], Iliad [5G]"
Italy,mamma-mia-in-5days-unlimited-topup,topup,6.7,20.5,Unlimited,0,0,"Vodafone [LTE], TIM [5G], Wind Tre [5G], Iliad [5G]"
Italy,mamma-mia-in-7days-unlimited,sim,8.9,29.5,Unlimited,0,0,"Vodafone [LTE], TIM [5G], Wind Tre [5G], Iliad [5G]"
Italy,mamma-mia-in-7days-unlimited-topup,topup,8.9,29.5,Unlimited,0,0,"Vodafone [LTE], TIM [5G], Wind Tre [5G], Iliad [5G]"
Italy,mamma-mia-in-10days-unlimited,sim,12.2,35,Unlimited,0,0,"Vodafone [LTE], TIM [5G], Wind Tre [5G], Iliad [5G]"
Italy,mamma-mia-in-10days-unlimited-topup,topup,12.2,35,Unlimited,0,0,"Vodafone [LTE], TIM [5G], Wind Tre [5G], Iliad [5G]"
Italy,mamma-mia-in-15days-unlimited,sim,17.7,49,Unlimited,0,0,"Vodafone [LTE], TIM [5G], Wind Tre [5G], Iliad [5G]"
Italy,mamma-mia-in-15days-unlimited-topup,topup,17.7,49,Unlimited,0,0,"Vodafone [LTE], TIM [5G], Wind Tre [5G], Iliad [5G]"
Italy,mamma-mia-in-30days-unlimited,sim,34.2,72.5,Unlimited,0,0,"Vodafone [LTE], TIM [5G], Wind Tre [5G], Iliad [5G]"
Italy,mamma-mia-in-30days-unlimited-topup,topup,34.2,72.5,Unlimited,0,0,"Vodafone [LTE], TIM [5G], Wind Tre [5G], Iliad [5G]"
Turkey,merhaba-7days-1gb,sim,0.7,4.5,"1 GB",0,0,"Turk Telekom (Avea) [5G]"
Turkey,merhaba-7days-1gb-topup,topup,0.7,4.5,"1 GB",0,0,"Turk Telekom (Avea) [5G]"
Turkey,merhaba-15days-2gb,sim,1.2,6,"2 GB",0,0,"Turk Telekom (Avea) [5G]"
Turkey,merhaba-15days-2gb-topup,topup,1.2,6,"2 GB",0,0,"Turk Telekom (Avea) [5G]"
Turkey,merhaba-30days-3gb,sim,1.7,6.5,"3 GB",0,0,"Turk Telekom (Avea) [5G]"
Turkey,merhaba-30days-3gb-topup,topup,1.7,6.5,"3 GB",0,0,"Turk Telekom (Avea) [5G]"
Turkey,merhaba-30days-5gb,sim,2.7,10,"5 GB",0,0,"Turk Telekom (Avea) [5G]"
Turkey,merhaba-30days-5gb-topup,topup,2.7,10,"5 GB",0,0,"Turk Telekom (Avea) [5G]"
Turkey,merhaba-30days-10gb,sim,3.8,15.5,"10 GB",0,0,"Turk Telekom (Avea) [5G]"
Turkey,merhaba-30days-10gb-topup,topup,3.8,15.5,"10 GB",0,0,"Turk Telekom (Avea) [5G]"
Turkey,merhaba-30days-20gb,sim,6.2,22.5,"20 GB",0,0,"Turk Telekom (Avea) [5G]"
Turkey,merhaba-30days-20gb-topup,topup,6.2,22.5,"20 GB",0,0,"Turk Telekom (Avea) [5G]"
Turkey,merhaba-10days-unlimited,sim,7.5,35,Unlimited,0,0,"Turk Telekom (Avea) [5G]"
Turkey,merhaba-3days-unlimited-x,sim,3.1,12.5,Unlimited,0,0,"Turk Telekom (Avea) [5G]"
Turkey,merhaba-5days-unlimited-x,sim,4.3,20.5,Unlimited,0,0,"Turk Telekom (Avea) [5G]"
Turkey,merhaba-7days-unlimited-x,sim,5.6,29.5,Unlimited,0,0,"Turk Telekom (Avea) [5G]"
Turkey,merhaba-15days-unlimited-x,sim,10.6,49,Unlimited,0,0,"Turk Telekom (Avea) [5G]"
Turkey,merhaba-30days-unlimited-x,sim,20,72.5,Unlimited,0,0,"Turk Telekom (Avea) [5G]"
Turkey,merhaba-10days-unlimited-topup-x,topup,7.5,35,Unlimited,0,0,"Turk Telekom (Avea) [5G]"
Turkey,merhaba-15days-unlimited-topup-x,topup,10.6,49,Unlimited,0,0,"Turk Telekom (Avea) [5G]"
Turkey,merhaba-30days-unlimited-topup-x,topup,20,72.5,Unlimited,0,0,"Turk Telekom (Avea) [5G]"
Turkey,merhaba-3days-unlimited-topup-x,topup,3.1,12.5,Unlimited,0,0,"Turk Telekom (Avea) [5G]"
Turkey,merhaba-5days-unlimited-topup-x,topup,4.3,20.5,Unlimited,0,0,"Turk Telekom (Avea) [5G]"
Turkey,merhaba-7days-unlimited-topup-x,topup,5.6,29.5,Unlimited,0,0,"Turk Telekom (Avea) [5G]"
"United Kingdom",uki-mobile-3days-unlimited,sim,4.5,12.5,Unlimited,0,0,"EE [4G]"
"United Kingdom",uki-mobile-5days-unlimited,sim,6.4,20.5,Unlimited,0,0,"EE [4G]"
"United Kingdom",uki-mobile-7days-unlimited,sim,8.3,29.5,Unlimited,0,0,"EE [4G]"
"United Kingdom",uki-mobile-10days-unlimited,sim,11.1,35,Unlimited,0,0,"EE [4G]"
"United Kingdom",uki-mobile-15days-unlimited,sim,15.8,49,Unlimited,0,0,"EE [4G]"
"United Kingdom",uki-mobile-30days-unlimited,sim,30,72.5,Unlimited,0,0,"EE [4G]"
"United Kingdom",uki-mobile-10days-unlimited-topup,topup,11.1,35,Unlimited,0,0,"EE [4G]"
"United Kingdom",uki-mobile-3days-unlimited-topup,topup,4.5,12.5,Unlimited,0,0,"EE [4G]"
"United Kingdom",uki-mobile-5days-unlimited-topup,topup,6.4,20.5,Unlimited,0,0,"EE [4G]"
"United Kingdom",uki-mobile-15days-unlimited-topup,topup,15.8,49,Unlimited,0,0,"EE [4G]"
"United Kingdom",uki-mobile-30days-unlimited-topup,topup,30,72.5,Unlimited,0,0,"EE [4G]"
"United Kingdom",uki-mobile-7days-unlimited-topup,topup,8.3,29.5,Unlimited,0,0,"EE [4G]"
"United Kingdom",uki-mobile-plus-7days-1gb-topup,topup,1.8,5.5,"1 GB",10,10,"EE [5G]"
"United Kingdom",uki-mobile-plus-15days-2gb-topup,topup,3.6,8.5,"2 GB",20,20,"EE [5G]"
"United Kingdom",uki-mobile-plus-30days-3gb-topup,topup,5.2,11,"3 GB",30,30,"EE [5G]"
"United Kingdom",uki-mobile-plus-30days-5gb-topup,topup,8.5,16,"5 GB",50,50,"EE [5G]"
"United Kingdom",uki-mobile-plus-30days-10gb-topup,topup,16.5,27.5,"10 GB",100,100,"EE [5G]"
"United Kingdom",uki-mobile-plus-7days-1gb,sim,1.8,5.5,"1 GB",10,10,"EE [5G]"
"United Kingdom",uki-mobile-plus-30days-20gb-topup,topup,31.5,49,"20 GB",200,200,"EE [5G]"
"United Kingdom",uki-mobile-plus-15days-2gb,sim,3.6,8.5,"2 GB",20,20,"EE [5G]"
"United Kingdom",uki-mobile-plus-30days-3gb,sim,5.2,11,"3 GB",30,30,"EE [5G]"
"United Kingdom",uki-mobile-plus-30days-5gb,sim,8.5,16,"5 GB",50,50,"EE [5G]"
"United Kingdom",uki-mobile-plus-30days-10gb,sim,16.5,27.5,"10 GB",100,100,"EE [5G]"
"United Kingdom",uki-mobile-plus-30days-20gb,sim,31.5,49,"20 GB",200,200,"EE [5G]"
"United Kingdom",uki-mobile-in-7days-1gb-topup,topup,0.8,4.5,"1 GB",0,0,"EE [5G]"
"United Kingdom",uki-mobile-in-15days-2gb-topup,topup,1.6,7,"2 GB",0,0,"EE [5G]"
"United Kingdom",uki-mobile-in-7days-1gb,sim,0.8,4.5,"1 GB",0,0,"EE [5G]"
"United Kingdom",uki-mobile-in-30days-3gb-topup,topup,2.2,9,"3 GB",0,0,"EE [5G]"
"United Kingdom",uki-mobile-in-30days-5gb-topup,topup,3.5,13,"5 GB",0,0,"EE [5G]"
"United Kingdom",uki-mobile-in-15days-2gb,sim,1.6,7,"2 GB",0,0,"EE [5G]"
"United Kingdom",uki-mobile-in-30days-10gb-topup,topup,5.6,19.5,"10 GB",0,0,"EE [5G]"
"United Kingdom",uki-mobile-in-30days-20gb-topup,topup,9.1,32,"20 GB",0,0,"EE [5G]"
"United Kingdom",uki-mobile-in-30days-3gb,sim,2.2,9,"3 GB",0,0,"EE [5G]"
"United Kingdom",uki-mobile-in-30days-5gb,sim,3.5,13,"5 GB",0,0,"EE [5G]"
"United Kingdom",uki-mobile-in-30days-10gb,sim,5.6,19.5,"10 GB",0,0,"EE [5G]"
"United Kingdom",uki-mobile-in-30days-20gb,sim,9.1,32,"20 GB",0,0,"EE [5G]"
Germany,hallo-mobil-7days-1gb,sim,1.4,4.5,"1 GB",0,0,"O2 [5G], Vodafone [5G]"
Germany,hallo-mobil-7days-1gb-topup,topup,1.4,4.5,"1 GB",0,0,"O2 [5G], Vodafone [5G]"
Germany,hallo-mobil-15days-2gb,sim,2.3,6.5,"2 GB",0,0,"O2 [5G], Vodafone [5G]"
Germany,hallo-mobil-15days-2gb-topup,topup,2.3,6.5,"2 GB",0,0,"O2 [5G], Vodafone [5G]"
Germany,hallo-mobil-30days-3gb,sim,2.8,8,"3 GB",0,0,"O2 [5G], Vodafone [5G]"
Germany,hallo-mobil-30days-3gb-topup,topup,2.8,8,"3 GB",0,0,"O2 [5G], Vodafone [5G]"
Germany,hallo-mobil-30days-5gb,sim,4,11.5,"5 GB",0,0,"O2 [5G], Vodafone [5G]"
Germany,hallo-mobil-30days-5gb-topup,topup,4,11.5,"5 GB",0,0,"O2 [5G], Vodafone [5G]"
Germany,hallo-mobil-30days-10gb,sim,5.9,16,"10 GB",0,0,"O2 [5G], Vodafone [5G]"
Germany,hallo-mobil-30days-10gb-topup,topup,5.9,16,"10 GB",0,0,"O2 [5G], Vodafone [5G]"
Germany,hallo-mobil-30days-20gb,sim,10,23.5,"20 GB",0,0,"O2 [5G], Vodafone [5G]"
Germany,hallo-mobil-30days-20gb-topup,topup,10,23.5,"20 GB",0,0,"O2 [5G], Vodafone [5G]"
Germany,hallo-mobil-3days-unlimited,sim,4.5,12.5,Unlimited,0,0,"O2 [5G], Vodafone [5G]"
Germany,hallo-mobil-3days-unlimited-topup,topup,4.5,12.5,Unlimited,0,0,"O2 [5G], Vodafone [5G]"
Germany,hallo-mobil-5days-unlimited,sim,6.7,20.5,Unlimited,0,0,"O2 [5G], Vodafone [5G]"
Germany,hallo-mobil-5days-unlimited-topup,topup,6.7,20.5,Unlimited,0,0,"O2 [5G], Vodafone [5G]"
Germany,hallo-mobil-7days-unlimited,sim,8.9,29.5,Unlimited,0,0,"O2 [5G], Vodafone [5G]"
